model,maker,year,price,seat,length,width,height,weight,WLTC,ps,disp,hybrid,electric
N-BOX,Honda,2023,173.9,4,3.4,1.48,1.79,910,21.6,58,658,0,0
Serena,Nissan,2022,361.5,7,4.69,1.7,1.89,1900,17,98,1433,1,0
Prius,Toyota,2022,299,5,4.6,1.78,1.42,1360,32.6,98,1797,1,0
Tanto,Daihatsu,2019,148.5,4,3.4,1.48,1.76,880,22.7,52,658,0,0
Alphard,Toyota,2023,555,7,5,1.85,1.94,2060,10.6,182,2493,0,0
Freed,Honda,2024,302.3,6,4.31,1.7,1.76,1460,25.6,106,1496,1,0
Step Wgn,Honda,2022,334.8,7,4.8,1.75,1.84,1710,13.2,150,1496,0,0
Sienta,Toyota,2022,233.8,5,4.26,1.7,1.7,1280,18.4,120,1490,0,0
Voxy,Toyota,2021,344,7,4.7,1.73,1.9,1640,23,98,1797,1,0
Hustler,Suzuki,2019,176,4,3.4,1.48,1.68,830,25,49,657,0,0
Vellfire,Toyota,2023,670,7,5,1.85,1.95,2180,10.3,279,2393,0,0
Wagon R,Suzuki,2017,129.5,4,3.4,1.48,1.65,730,24.8,49,657,0,0
Spacia,Suzuki,2023,180.2,4,3.4,1.48,1.79,890,23.9,49,657,1,0
Hiace Van,Toyota,2004,251.9,3,4.7,1.7,1.98,1670,9.3,136,1998,0,0
Aqua,Toyota,2021,229.4,5,4.05,1.7,1.49,1130,33.6,91,1490,1,0
Jimmy,Suzuki,2018,190.3,4,3.4,1.48,1.73,1040,16.6,64,658,0,0
Fit,Honda,2020,215.4,5,4.08,1.7,1.54,1100,17.9,118,NA,0,0
Vezel,Honda,2021,264.9,5,4.34,1.79,1.58,1320,15,118,1496,0,0
Note,Nissan,2020,229.9,5,4.05,1.7,1.52,1230,28.4,82,1198,0,0
Harrier,Toyota,2020,352.9,5,4.74,1.86,1.66,1570,15.4,171,1986,0,0
Dayz,Nissan,2019,143.8,4,3.4,1.48,1.65,840,23.2,52,659,0,0
Noah,Toyota,2021,332,7,4.7,1.73,1.9,1630,23.2,98,1797,1,0
X-Trail,Nissan,2022,445.2,5,4.66,1.84,1.72,1780,19.7,144,1497,0,0
Every,Suzuki,2015,113.7,4,3.4,1.48,1.9,870,17.2,49,658,0,0
M-Wgn,Honda,2019,134.4,4,3.4,1.48,1.68,850,23.2,58,658,0,0
911,Porsche,2019,2254,2,4.55,1.85,1.3,1595,NA,485,3591,1,0
Raize,Toyota,2019,223.5,5,4,1.7,1.62,1040,17.4,98,996,0,0
Move,Daihatsu,2025,171.6,4,3.4,1.48,1.66,860,22.6,52,658,0,0
Delica D5,Mitsubishi,2007,432.4,7,4.8,1.8,1.88,1940,12.6,145,2267,0,0
Mini,BMW,2024,399,4,3.88,1.75,1.46,1280,16.3,156,1498,0,0
CX5,Mazda,2016,281.1,5,4.58,1.85,1.69,1540,14.6,156,1997,0,0
Odyssey,Honda,2013,480,8,4.86,1.82,1.7,1840,20.2,145,1993,1,0
Alto Lapin,Suzuki,2015,132.9,4,3.4,1.48,1.53,680,26.2,52,658,0,0
